Date,Open,High,Low,Close,Adj Close,Volume
2012-12-01,142.800003,145.580002,139.539993,142.410004,126.264404,2889875900
2013-01-01,145.110001,150.940002,144.729996,149.699997,133.669266,2587140200
2013-02-01,150.649994,153.279999,148.729996,151.610001,135.374786,2581459300
2013-03-01,151.089996,156.850006,150.410004,156.669998,139.892883,2330972300
2013-04-01,156.589996,159.720001,153.550003,159.679993,143.214691,2907035000
2013-05-01,159.330002,169.070007,158.100006,163.449997,146.595978,2781596000
2013-06-01,163.830002,165.990005,155.729996,160.419998,143.878433,3533321800
2013-07-01,161.259995,169.860001,160.220001,168.710007,152.114258,2330904500
2013-08-01,169.990005,170.970001,163.050003,163.649994,147.551956,2283131700
2013-09-01,165.229996,173.600006,163.699997,168.009995,151.483124,2226749600
2013-10-01,168.139999,177.509995,164.529999,175.789993,159.270309,2901739000
2013-11-01,176.020004,181.750000,174.759995,181.000000,163.990738,1930952900
2013-12-01,181.089996,184.690002,177.320007,184.690002,167.333969,2232775900
2014-01-01,183.979996,184.940002,176.880005,178.179993,162.312393,2530650900
2014-02-01,177.970001,187.149994,173.710007,186.289993,169.700180,2394184600
2014-03-01,184.649994,189.020004,183.750000,187.009995,170.356049,2554084300
2014-04-01,187.619995,189.699997,181.309998,188.309998,172.297028,2345902000
2014-05-01,188.220001,192.800003,186.009995,192.679993,176.295410,1781093800
2014-06-01,192.949997,196.600006,191.970001,195.720001,179.076904,1675047300
2014-07-01,196.199997,199.059998,192.970001,193.089996,177.516800,1893710200
2014-08-01,192.559998,200.820007,190.550003,200.710007,184.522308,1829885000
2014-09-01,200.970001,201.899994,196.050003,197.020004,181.129898,2106462700
2014-10-01,196.699997,201.820007,181.919998,201.660004,186.262466,3943068000
2014-11-01,201.919998,207.869995,200.059998,207.199997,191.379456,1571091800
2014-12-01,206.399994,212.970001,197.860001,205.539993,189.846146,3045171000
2015-01-01,206.380005,206.880005,198.550003,199.449997,185.237854,3172346300
2015-02-01,200.050003,212.240005,197.860001,210.660004,195.649094,1886530700
2015-03-01,210.779999,212.059998,204.119995,206.429993,191.720490,2715830100
2015-04-01,206.429993,212.479996,204.509995,208.460007,194.469864,2020719500
2015-05-01,209.399994,213.779999,206.759995,211.139999,196.970016,1877801000
2015-06-01,211.940002,213.339996,205.279999,205.889999,192.072342,2529515900
2015-07-01,207.729996,213.179993,204.110001,210.449997,197.281662,2447834300
2015-08-01,210.460007,211.309998,182.399994,199.160004,186.698090,4319602000
2015-09-01,193.119995,202.889999,186.929993,191.589996,179.601776,3244515300
2015-10-01,192.080002,209.440002,189.119995,208.889999,196.837891,3214338800
2015-11-01,208.320007,211.660004,202.179993,208.690002,196.649460,1919256000
2015-12-01,209.440002,211.000000,199.830002,203.869995,192.107529,2909446200
2016-01-01,200.490005,201.899994,181.020004,193.720001,183.629166,3706355900
2016-02-01,192.529999,196.679993,181.089996,193.559998,183.477463,2906266800
2016-03-01,195.009995,206.869995,194.449997,205.520004,194.814468,2316545700
2016-04-01,204.350006,210.919998,203.089996,206.330002,196.590652,1891453600
2016-05-01,206.919998,210.690002,202.779999,209.839996,199.934998,1825968300
2016-06-01,209.119995,212.520004,198.649994,209.479996,199.591980,2610023600
2016-07-01,209.479996,217.539993,207.059998,217.119995,207.947586,1641352200
2016-08-01,217.190002,219.600006,214.250000,217.380005,208.196609,1512153500
2016-09-01,217.369995,219.220001,212.309998,216.300003,207.162247,2290019800
2016-10-01,215.820007,216.699997,211.210007,212.550003,204.599030,1721815600
2016-11-01,212.929993,221.820007,208.380005,220.380005,212.136139,2063815200
2016-12-01,220.729996,228.339996,219.149994,223.529999,215.168304,1808241300
2017-01-01,225.039993,229.710007,223.880005,227.529999,220.309525,1479754500
2017-02-01,227.529999,237.309998,226.820007,236.470001,228.965820,1361822100
2017-03-01,238.389999,240.320007,231.610001,235.740005,228.258987,1921474100
2017-04-01,235.800003,239.529999,232.509995,238.080002,231.527603,1539328300
2017-05-01,238.679993,242.080002,235.429993,241.440002,234.795120,1492547000
2017-06-01,241.970001,245.009995,239.960007,241.800003,235.145218,1570792100
2017-07-01,242.880005,248.000000,240.339996,246.770004,241.148727,1055908800
2017-08-01,247.460007,248.910004,241.830002,247.490005,241.852310,1554867400
2017-09-01,247.919998,251.320007,244.949997,251.229996,245.507111,1286405100
2017-10-01,251.490005,257.890015,251.289993,257.149994,252.539352,1320624600
2017-11-01,258.040009,266.049988,255.630005,265.010010,260.258484,1365620900
2017-12-01,264.760010,268.600006,260.760010,266.859985,262.075256,1715222900
